date,official_outlet_m3s,official_et_mm,official_surq_gen_mm,official_perc_mm,official_latq_mm,official_snopack_mm,official_soil_layer2_C,existing_ft_outlet_m3s,existing_ft_et_mm,existing_ft_surq_gen_mm,existing_ft_perc_mm,existing_ft_latq_mm,existing_ft_snopack_mm,existing_ft_soil_layer2_C,shaw_outlet_m3s,shaw_et_mm,shaw_surq_gen_mm,shaw_perc_mm,shaw_latq_mm,shaw_snopack_mm,shaw_soil_layer2_C
2021-01-30,0.0004173,0.058,0.0,0.0,0.0,52.872,-9.428,0.001937,0.058,0.0,0.059,0.036,52.872,-1.003,8.002e-11,0.004,0.0,0.089,0.0,60.064,-0.544
2021-01-31,0.0003969,0.172,0.0,0.0,0.0,52.872,-10.26,0.001956,0.17,0.0,0.059,0.031,52.872,-1.124,4.229e-11,0.03,0.0,0.088,0.0,60.155,-0.596
2021-02-01,5.894e-10,0.368,0.0,0.0,0.0,52.872,-10.697,0.001989,0.364,0.0,0.066,0.032,52.872,-0.744,0.0001727,0.143,0.0,0.089,0.0,60.171,-0.567
2021-02-02,2.005e-05,0.185,0.0,0.0,0.0,57.358,-9.97,0.002058,0.183,0.0,0.076,0.041,57.358,0.052,0.0003576,0.442,0.0,0.089,0.0,64.326,-0.471
2021-02-03,5.95e-06,0.0,0.0,0.0,0.0,63.131,-9.145,0.00209,0.0,0.0,0.075,0.047,63.131,0.42,0.000501,0.11,0.0,0.089,0.0,69.793,-0.384
2021-02-04,1.3e-05,0.0,0.0,0.0,0.0,67.369,-8.731,0.002141,0.0,0.0,0.076,0.051,67.369,0.394,0.0006591,0.095,0.0,0.09,0.0,74.013,-0.343
2021-02-05,5.289e-06,0.153,0.0,0.0,0.0,71.519,-8.342,0.002176,0.152,0.0,0.076,0.055,71.519,0.52,0.0007965,0.465,0.0,0.09,0.0,78.034,-0.282
2021-02-06,1.378e-10,0.451,0.0,0.0,0.0,72.719,-8.065,0.002212,0.447,0.0,0.076,0.058,72.719,0.381,0.0009312,0.223,0.0,0.091,0.0,79.109,-0.216
2021-02-07,2.865e-06,0.0,0.0,0.0,0.0,73.305,-8.006,0.002254,0.0,0.0,0.076,0.06,73.305,0.304,0.00107,0.129,0.0,0.093,0.0,79.66,-0.189
2021-02-08,8.374e-11,0.132,0.0,0.0,0.0,73.891,-8.451,0.002269,0.132,0.0,0.067,0.053,73.891,-0.142,0.001198,0.077,0.0,0.094,0.0,80.257,-0.183
2021-02-09,6.695e-11,0.446,0.0,0.0,0.0,73.891,-8.612,0.002287,0.443,0.0,0.067,0.048,73.891,-0.12,0.001326,0.103,0.0,0.095,0.0,80.272,-0.179
2021-02-10,5.455e-11,0.455,0.0,0.0,0.0,73.891,-8.824,0.002304,0.452,0.0,0.066,0.045,73.891,-0.175,0.001451,0.097,0.0,0.097,0.0,80.241,-0.179
2021-02-11,4.536e-11,0.025,0.0,0.0,0.0,73.891,-9.341,0.00232,0.025,0.0,0.066,0.042,73.891,-0.395,0.001574,-0.008,0.0,0.099,0.0,80.266,-0.19
2021-02-12,3.852e-11,0.115,0.0,0.0,0.0,73.891,-10.175,0.002335,0.114,0.0,0.066,0.04,73.891,-0.848,0.001694,0.039,0.0,0.101,0.0,80.326,-0.22
2021-02-13,3.341e-11,0.073,0.0,0.0,0.0,73.891,-10.919,0.002335,0.072,0.0,0.059,0.034,73.891,-0.923,0.001814,0.035,0.0,0.103,0.0,80.376,-0.25
2021-02-14,8.815e-07,0.151,0.0,0.0,0.0,74.027,-10.818,0.00235,0.15,0.0,0.066,0.034,74.027,-0.414,0.001933,0.055,0.0,0.105,0.0,80.613,-0.233
2021-02-15,6.611e-07,0.0,0.0,0.0,0.0,74.251,-10.603,0.002363,0.0,0.0,0.066,0.034,74.251,-0.176,0.002051,0.002,0.0,0.108,0.0,80.979,-0.21
2021-02-16,1.895e-05,0.0,0.0,0.0,0.0,78.638,-10.225,0.002407,0.0,0.0,0.073,0.04,78.638,0.182,0.002187,0.055,0.0,0.111,0.0,85.288,-0.182
2021-02-17,2.267e-11,0.274,0.0,0.0,0.0,82.938,-10.496,0.0024,0.272,0.0,0.067,0.038,82.938,-0.247,0.002285,0.349,0.0,0.114,0.0,89.455,-0.172
2021-02-18,1.864e-11,0.29,0.0,0.0,0.0,82.938,-10.572,0.002411,0.287,0.0,0.067,0.037,82.938,-0.194,0.002402,0.043,0.0,0.116,0.0,89.474,-0.174
2021-02-19,1.826e-11,0.443,0.0,0.0,0.0,82.938,-10.163,0.002433,0.439,0.0,0.072,0.042,82.938,0.102,0.002519,0.087,0.0,0.119,0.0,89.46,-0.159
2021-02-20,4.628e-06,0.089,0.0,0.0,0.0,83.924,-9.851,0.002459,0.088,0.0,0.072,0.045,83.924,0.117,0.00264,0.204,0.0,0.122,0.0,90.353,-0.148
2021-02-21,1.753e-11,0.272,0.0,0.0,0.0,84.91,-9.749,0.002474,0.27,0.0,0.072,0.047,84.91,0.085,0.00275,0.146,0.0,0.124,0.0,91.274,-0.145
2021-02-22,6.17e-06,0.039,0.0,0.0,0.0,86.247,-9.437,0.002499,0.039,0.0,0.072,0.048,86.247,0.267,0.002871,0.247,0.0,0.127,0.0,92.5,-0.134
2021-02-23,5.485e-06,0.262,0.804,0.0,0.0,86.665,-8.385,0.002514,0.262,0.018,0.073,0.05,86.665,0.8,0.00298,0.285,0.018,0.129,0.0,94.129,0.001
2021-02-24,5.38e-05,0.0,10.434,0.0,0.0,81.191,-7.333,0.002555,0.0,0.248,0.08,0.058,81.191,1.072,0.003102,0.089,0.248,0.131,0.0,96.058,0.092
2021-02-25,4.87e-06,0.0,0.688,0.0,0.0,77.184,-7.219,0.002578,0.0,0.0,0.081,0.064,77.184,0.583,0.003206,0.173,0.002,0.134,0.0,97.858,0.15
2021-02-26,1.24e-06,0.59,0.067,0.0,0.0,77.734,-7.489,0.002606,0.59,0.0,0.081,0.069,77.734,0.245,0.003316,0.442,0.0,0.137,0.0,98.081,0.168
2021-02-27,1.099e-05,0.0,0.007,0.0,0.0,80.021,-7.076,0.002646,0.0,0.0,0.081,0.072,80.021,0.622,0.00344,0.191,0.0,0.141,0.0,100.112,0.188
2021-02-28,4.296e-05,0.451,10.282,0.0,0.0,76.34,-6.322,0.002677,0.451,0.227,0.087,0.08,76.34,0.968,0.003558,0.421,0.218,0.149,0.0,102.37,0.211
2021-03-01,2.247e-05,0.27,0.669,0.0,0.0,74.86,-6.603,0.002734,0.27,0.001,0.088,0.086,74.86,0.531,0.003696,0.65,0.053,0.149,0.0,106.533,0.213
2021-03-02,1.226e-06,0.248,0.065,0.0,0.0,79.346,-7.349,0.00271,0.248,0.0,0.067,0.073,79.346,-0.115,0.003798,0.364,0.004,0.154,0.0,110.467,0.209
